0,5.4,7.5,12,10.7,13.7,12,14.3,13.8,17.6,16.6,18.1,10.9,11.4,6.3,14.1,17.9,15.5,18.1,25.2,34.5,29.2,26.3,2.6,5.5
5.4,0,4.7,15.9,13.7,17.5,17.1,18.2,17.6,19.6,20.4,20,15.2,12.5,11.2,16,19.9,19.3,20,27.2,31,33.5,29.9,7.8,10.7
7.5,4.7,0,16.1,14.2,17.8,16.5,18.5,18,19.9,20.8,20.3,15.4,15.2,12.6,16.3,19.7,19.6,20.3,27.8,38.4,33.8,30.2,9.2,12.1
11,14.2,14.7,0,2.6,4.2,2.7,4.9,1.8,7.9,7.1,9.2,3.3,16.6,9.7,7.5,8.5,6,10.7,14.3,21.8,19.7,16.8,8.6,8.5
10.9,14,16.4,3.2,0,4.9,5.7,5.6,5.1,7.6,7.8,9.6,1.7,18.5,11.6,5.7,7.1,6.7,9.3,12.9,16.6,20.3,17.5,8.4,13
13.7,16.8,17.5,3,4,0,4.2,3,2.4,8.4,5.2,9.4,5,19.6,12.7,9.9,9.6,4.1,13.5,18.2,19.9,17.8,14.9,11.2,14.2
14,10,24.3,1.6,5.9,5.9,0,14,4,11,14,11.1,4.1,15.7,7.8,2,12,14,14,17.3,13,19.1,14,14.2,12.4
16.1,19.2,19.9,5.4,6.4,2.1,6.6,0,2.5,7,3.3,8.7,7.4,21.9,15,9,9,2.2,11.5,16.8,17.9,15.8,12.9,13.6,16.7
12,15.1,16.2,4.8,5.2,2.7,4.9,1.5,2.6,5.7,1.7,5.9,5.4,17.1,10.7,7.7,6.1,1.1,9.1,10.4,13.7,12.4,9.5,10.5,11.4
17.6,19.4,19.8,9.7,7.4,11.5,13.5,6.6,8.8,0,6.7,3.1,8.9,25.1,16.5,4.6,3.2,5.1,7.9,11.4,15.3,15.1,9.3,18.2,18.5
16.1,20,20.1,16.7,16.6,4.9,15.2,2,3,4,0,14.3,18.3,23.9,15,9.5,6,1.5,2,10.9,15.3,18.2,156,13.6,15.6
18.1,20,20.3,10.6,7.3,7.9,12,7.9,7.9,0.8,5.9,0,6.8,25.8,18.9,4.7,0.6,7.1,4.3,7.9,11.7,12.8,11.1,16.7,20.3
10.9,12.1,13.5,2.9,1.9,4.6,7.2,5.2,4.8,5.8,7.7,6.1,0,19.7,12.5,3.5,3.8,9.7,9.1,12.6,16.4,16.5,16.9,8.4,13.6
12,15.1,16.2,4.8,5.2,2.7,4.9,1.5,2.6,5.7,1.7,5.9,5.4,0,10.7,7.7,6.1,1.1,9.1,10.4,13.7,12.4,9.5,10.5,11.4
5.8,11.1,14.1,11.1,13.3,13.2,9.9,13.9,13.4,19.3,15,21.1,15.5,8.8,0,18.3,21.4,14.1,21.5,29.2,30.3,28.2,25.4,7.6,1.6
13.6,15.4,16,8.1,5.8,9.1,10.5,10.4,9.2,5.4,8.2,4.6,5.3,23.2,16.3,3.8,8,4.8,8.4,12.2,13.3,14,13.2,17.8,
17.5,19.3,19.7,9,6.7,8.3,11.4,7.8,8.4,1.6,7.2,1.8,6.2,24.1,17.2,5,0,7.2,4.9,8.1,11.9,14,11.6,15.1,18.7
15.5,17.6,21.7,8.2,8,8.3,10.8,8.8,9.1,6.1,3.2,5.2,7.5,23.6,16.7,7.2,6.1,0,11.3,16.3,19.7,17.3,14.9,15.9,19.9
20.8,19.2,23.1,11.6,9.3,11.5,14,12,11.7,4.6,10.1,4.2,8.8,26.7,19.8,4.5,3.9,11.3,0,5.3,9.1,10.2,11.7,18.2,21.3
21.1,23,27.2,15.3,13.1,15.6,17.8,16,16,8.2,15.1,8.4,12.6,30.5,23.6,8.3,7.6,16.3,5,0,3.8,4.9,6.4,21.5,25.1
35.8,39.8,37.9,21.2,18.9,21.1,23.7,20.6,21.2,14,18.3,13.8,18.5,36.3,29.4,14.2,13.4,18.9,10.9,6.5,0,7.5,9.5,38.4,41.3
29.8,28.1,40.2,19.8,20.1,16.8,20.9,16.2,16.9,13.2,13.4,12.2,18.4,34.5,27.6,14.2,12.3,14.6,10.2,4.8,4.8,0,5.2,28.1,29.4
26.2,29.4,29.9,15.6,15.9,12.6,16.7,12,12.7,9.8,9.2,10.7,16.3,30.7,23.8,11.3,8.5,10.9,8.8,9,9.4,7.2,0,24.2,25.8
2.5,7.9,9.9,8.2,9,12.7,7.6,13.3,12.8,18,15.8,16.2,10,13.8,6.1,14.2,15.3,15.2,18.8,23.1,26.9,28.2,25.2,0,3.6
6.3,11.6,13.7,12.2,13.8,15.2,6.8,12.2,11.6,18.8,14.4,16.8,10.9,10.1,2.7,15.1,16.1,13.5,18.7,23.9,29.5,28.4,24.5,5.4,0
